SegmentID,M,Yr,D,WktGeom,street,Vol,fromSt,toSt
141367,4,2023,4,POINT (1013843.067320377 189249.1128744095),JACKIE ROBINSON PARKWAY,40315,Dead end,Dead End
156596,5,2022,17,POINT (1023913.269033063 183538.80365108862),LINDEN BOULEVARD,13682,Dead End,79 Street
77104,5,2022,19,POINT (1015029.50289154 223906.76034060976),RIKERS ISLAND BRIDGE,5334,Rikers Is Bridge,Dead end
113038,9,2023,18,POINT (1009106.1610914068 213482.47529988937),WOODSIDE AVENUE,3727,Dead End,37 Avenue
68884,8,2023,12,POINT (1007201.1820997201 223539.69446798888),21 STREET,6172,Ditmars Boulevard,22 Road
62497,6,2023,19,POINT (1056415.1868210472 170827.2200271171),HOOK CREEK BRIDGE,64054,Hook Creek Shoreline,Dead end
133440,11,2023,13,POINT (1050796.0649834706 182183.91991279385),BELT PARKWAY EXIT 21 WESTBOUND,4182,Belt Parkway,North Conduit Avenue
196368,6,2023,20,POINT (1023055.8409196973 185039.53691861132),SUTTER AVENUE,6098,Dead End,North Conduit Avenue
74363,1,2024,12,POINT (1014378.8719643257 204625.60090671887),GRAND AVENUE,5703,72 Street,Mazeau Street
189271,6,2022,21,POINT (1000124.7052589084 208538.8773739439),BORDEN AVENUE BRIDGE,15063,Borden Avenue,Dead end
196368,6,2023,29,POINT (1023055.8409196973 185039.53691861132),SUTTER AVENUE,5746,Dead End,North Conduit Avenue
9000515,1,2024,24,POINT (1041074.973834683 193690.47360957888),160 STREET,5830,Dead End,Dead end
156596,5,2022,12,POINT (1023913.269033063 183538.80365108862),LINDEN BOULEVARD,13054,Dead End,79 Street
139317,4,2023,25,POINT (1029764.5558550587 206620.68480365377),VAN WYCK EXPRESSWAY,72689,Dead end,Dead End
253492,1,2024,10,POINT (1018213.9448553473 207844.39374417067),BROADWAY,5232,Queens Boulevard,Queens Boulevard Line
136612,11,2023,17,POINT (1049634.4174811568 182344.0829986251),BELT PARKWAY SB ENTRANCE 181 ST,8886,181 Street,Belt Parkway
